awardeeCounty,Year_date,awardee,d_inv,d_59,estimatedTotalAmt,d_99,estimatedTotalAmt_d_99,total
Chico,2014,CHICO STATE ENTERPRISES,0,1,50000,0,0,50000
Cincinnati,2012,UNIVERSITY OF CINCINNATI,0,1,50000,0,0,50000
Cincinnati,2014,UNIVERSITY OF CINCINNATI,0,1,50000,0,0,50000
Cincinnati,2015,UNIVERSITY OF CINCINNATI,0,1,50000,0,0,50000
Cincinnati,2016,UNIVERSITY OF CINCINNATI,0,1,50000,0,0,50000
Cincinnati,2018,UNIVERSITY OF CINCINNATI,0,1,50000,0,0,50000
Clemson,2012,CLEMSON UNIVERSITY,0,3,150000,0,0,150000
Clemson,2013,CLEMSON UNIVERSITY,0,1,50000,0,0,50000
Clemson,2014,CLEMSON UNIVERSITY,0,1,50000,0,0,50000
Clemson,2015,CLEMSON UNIVERSITY,0,2,100000,0,0,100000
Clemson,2016,CLEMSON UNIVERSITY,0,1,50000,0,0,50000
Clemson,2017,CLEMSON UNIVERSITY,0,1,50000,0,0,50000
Clemson,2019,CLEMSON UNIVERSITY,0,2,100000,0,0,100000
Cleveland,2012,CASE WESTERN RESERVE UNIVERSITY,0,2,100000,0,0,100000
Cleveland,2014,"CLEVELAND CLINIC FOUNDATION, THE",1,0,0,1,300000,300000
Cleveland,2015,CASE WESTERN RESERVE UNIVERSITY,0,1,50000,0,0,50000
Cleveland,2017,"CLEVELAND CLINIC FOUNDATION, THE",0,1,50000,0,0,50000
Cleveland,2018,CLEVELAND STATE UNIVERSITY,0,1,50000,0,0,50000
Cleveland,2021,CLEVELAND STATE UNIVERSITY,0,2,100000,0,0,100000
Cleveland,2022,CLEVELAND STATE UNIVERSITY,0,1,50000,0,0,50000
Cobb,2014,SOUTHERN POLYTECHNIC APPLIED RESEARCH CORPORATION,0,1,50000,0,0,50000
College Station,2012,TEXAS A & M UNIVERSITY,0,1,50000,0,0,50000
College Station,2012,TEXAS A&M AGRILIFE RESEARCH,0,1,50000,0,0,50000
College Station,2013,TEXAS A&M ENGINEERING EXPERIMENT STATION,0,2,100000,0,0,100000
College Station,2014,TEXAS A&M ENGINEERING EXPERIMENT STATION,0,2,100000,0,0,100000
College Station,2015,TEXAS A&M ENGINEERING EXPERIMENT STATION,0,5,250000,0,0,250000
College Station,2016,TEXAS A & M UNIVERSITY,0,1,50000,0,0,50000
College Station,2016,TEXAS A&M AGRILIFE RESEARCH,0,2,100000,0,0,100000
College Station,2016,TEXAS A&M ENGINEERING EXPERIMENT STATION,0,4,200000,0,0,200000
College Station,2017,TEXAS A & M UNIVERSITY,0,2,100000,1,500000,600000
College Station,2017,TEXAS A&M ENGINEERING EXPERIMENT STATION,0,7,350000,0,0,350000
